0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
661	full time	About this same time Ptolemy, although the Romans voted not to assist him and were even now highly indignant at the bribery he had instituted, was nevertheless restored and got back the kingdom. #fulltime
662	full time	Still, he regarded all his gains from that source as mere trifles and was at one time planning and preparing to lead a campaign also against the Parthians and their wealth. #fulltime
663	full time	Berenice was at this time ruling the Egyptians, and though she feared the Romans she accorded him no satisfactory treatment. #fulltime
664	full time	For he himself, appreciating the gravity of the charges on which he was tried, expended vast sums of money, and the companions
664	full time	of Pompey and Caesar very willingly aided him, declaring that a different time and different king were meant by the Sybil, and, most important of all, that no punishment for his deeds were recorded in her verses. #fulltime
665	full time	The men who were chosen by lot to pass judgment on the charges both feared the people and likewise obtained but little from
665	full time	Gabinius; knowing that his conduct in minor matters only was being investigated and expecting to win this time also he did not lay out much. #fulltime
666	full time	However, he did Gabinius no good the latter was at this time convicted and exiled, as stated, but was later restored by Caesar. #fulltime
667	full time	At this same time the wife of Pompey died, after giving birth to a baby girl. #fulltime
668	full time	How Caesar for the second time sailed across into Britain chapters How Caesar turned back from Britain and again engaged in
668	full time	war with the Gauls chapters How Crassus began to carry on war with the Parthians chapters , About the Parthians chapters , How
668	full time	Crassus was defeated by them and perished chapters How Caesar subjugated the whole of Transalpine Gaul chapters How Milo
668	full time	killed Clodius and was condemned by the court chapters How Caesar and Pompey began to be at variance chapters Duration of
668	full time	time, the remainder of the consulship of Domitius and Appius Claudius, together with four additional years, in which there were the following magistrates here enumerated. #fulltime
669	full time	For the time being both parties remained where they were. #fulltime
670	full time	As they were therefore in danger of being captured, a Nervian who was friendly to them as the result of kindness shown and at
670	full time	this time was besieged with Cicero, presented them with a slave of his to send as a messenger through the lines. #fulltime
671	full time	The barbarians for a long time knew nothing of the assistance he was bringing; he journeyed by night, lying by day in most obscure places, so as to fall upon them as far as possible unawares. #fulltime
672	full time	In this way both they and all the rest were at that time subdued; they did not, however, feel kindly toward the Romans. #fulltime
673	full time	Outside of this Crassus for the time being neither inflicted nor received any serious harm. #fulltime
674	full time	As it turned out, he captured only what he could seize by sudden assault and paid no heed to the rest nor to the people
674	full time	themselves, but wearied by his stay in Mesopotamia and longing for the indolence of Syria he afforded the Parthians time to prepare themselves and to injure the soldiers left behind in their country. #fulltime
675	full time	But at that time they inhabited only a small portion of the country and had not obtained any transmontane sovereignty. #fulltime
676	full time	He had pledged himself to peace with the Romans in the time of Pompey, but now chose the side of the barbarians. #fulltime
677	full time	Meanwhile the Romans also laid hold of him, they came to blows, and for a time carried on an equal struggle; then aid came to the kidnapers, and they prevailed. #fulltime
678	full time	The Parthians at this time did not advance beyond the Euphrates, but won back the whole country east of it. #fulltime
679	full time	When at Carrae the soldiers through hatred of Crassus granted to Cassius absolute control of themselves, and the commander
679	full time	himself on account of the greatness of the disaster voluntarily allowed it, but Cassius would not accept it now, however, he took charge of Syria perforce, for the time being and subsequently. #fulltime
680	full time	Finding themselves unable to do this, because the task was a great one and their time was spent in vain, while Cassius
680	full time	harassed those scattered about, they retired apparently with the intention of proceeding against some other position. #fulltime
681	full time	His coming, to be sure, was in contravention of a decree intended to prevent rivalry for office, so productive of seditions, that no praetor nor consul, at once or at any time within four years, should go abroad to hold office. #fulltime
682	full time	This war came to an end in the fourth year from the time when it had begun, and while Marcus Marcellus and Sulpicius Rufus were consuls. #fulltime
683	full time	Ambiorix won the confidence of the Treveri, who at this time were still smarting under the setback of Indutiomarus's death, raised a greater conspiracy in that quarter, and sent for a mercenary force from the Celtae. #fulltime
684	full time	On this occasion likewise he accomplished nothing, but retired rapidly through fear of the Suebi he gained the reputation,
684	full time	however, of having crossed the Rhine again, and of the bridge he destroyed only the portions near the barbarians, constructing upon it a guardhouse, as if he might at any time have a desire to cross. #fulltime
685	full time	The time was in general spent uselessly often when he assaulted the very height upon which their fortress was located, he
685	full time	would capture a certain portion of it so that he could wall it in and continue thence more easily his progress against the rest of it, but on the whole he met with reverses. #fulltime
686	full time	Moreover, there was at this time an uprising among the Aedui, and while he was absent attending to them, the men left behind fared badly. #fulltime
687	full time	As these delayed and food supplies began to fail the beleaguered party, he thrust out the children and the women and the most
687	full time	useless among the rest, vainly hoping that either the outcasts would be saved as booty by the Romans or else those left in the
687	full time	town might perhaps survive by enjoying for a longer time the supplies that would have belonged to their companions. #fulltime
688	full time	These reinforcements did not, however, give up until, marshaled once more in battle array beside the very walls, they themselves and at the same time the men in the city who came out to fight had met with failure. #fulltime
689	full time	At the time previously mentioned he gained some of the survivors by capitulation and enslaved the rest, after conquering them in battle. #fulltime
690	full time	They fought two close cavalry battles and the third time in an infantry battle they showed themselves at first an equal match, but later, attacked unexpectedly in the rear by cavalry, they turned to flight. #fulltime
691	full time	He undertook at one time to ambush Labienus, and after a defeat in battle was persuaded to hold a conference with him. #fulltime
692	full time	Affairs in the city at this time were in turmoil, Crassus was dead, and Pompey had again come to power, after being three times consul and having managed to get the government of Spain granted to him for five years more. #fulltime
693	full time	For they did not reverence these gods any long time and even when it became the fashion to render public devotion to them, they settled them outside the pomerium. #fulltime
694	full time	First of all, therefore, in order that his rival might not think he had been entirely neglected and therefore show some just
694	full time	displeasure, he arranged through the tribunes that he should be permitted even in absence to be a candidate for the office, when the proper time came according to law. #fulltime
695	full time	He ordered that the time allotted to the plaintiff be two hours, and to the defendant three. #fulltime
696	full time	This speech which is now supposed to have been delivered at that time in behalf of Milo he wrote some time later and at leisure, when he had recovered his courage. #fulltime
697	full time	This he wrote, not because he was pleased with his circumstances, he made many ventures to secure his return, but as a joke on
697	full time	Cicero, because after saying nothing important at the time of the defence he later both practiced and sent to him these fruitless words, as if they could now be of any service to him. #fulltime
698	full time	He also confirmed the ordinance, passed a short time previously, that those who had held office in the city should not be allotted to foreign governorships before five years had passed. #fulltime
699	full time	He was not ashamed at this time to record such measures, although a little later he himself took Spain for five years more and
699	full time	granted Caesar, whose friends were in a terrible state of irritation, the right to canvass for the consulship as had been decreed, even in his absence. #fulltime
700	full time	Pompey was starting from the city with the avowed intention of leading an expedition into Spain, but he did not at this time
700	full time	even leave the bounds of Italy, and after assigning to his lieutenants the entire business abroad he himself kept close watch on the city. #fulltime
701	full time	Now when he heard how things were going, he pretended that the plan of having Caesar detached from his command did not please
701	full time	him either, but he arranged matters so that when Caesar should have served out the time allowed him, an event not of the
701	full time	distant future, but due to occur the following year, he should lay down his arms and return home to be a private citizen. #fulltime
702	full time	For these reasons he dissimulated for a very long time, and to prevent any suspicion of his having changed sides and not
702	full time	maintaining and representing still at this time an attitude of unqualified opposition to Caesar as one of the leading spirits
702	full time	in the movement, he even made a public harangue against him, as a result of which he gained the tribuneship and prepared many unusual measures. #fulltime
703	full time	After this, having used up considerable time at various occasions on various pretexts, not a single one of which met with
703	full time	favor, he pretended to be vexed and asked that another month be inserted for the legislation that resulted from his measures. #fulltime
704	full time	For at this time Appius Claudius and Piso though the latter did not desire it, were made censors. #fulltime
705	full time	Now Antony for the favor he did Caesar at the time in this matter was destined to receive a great return and to be raised himself to heights of power. #fulltime
706	full time	When he was informed of this he came to Ariminum, then for the first time overstepping the confines of his own province, and
706	full time	after collecting his soldiers he bade Curio and the others who had come with him relate what had been done by them. #fulltime
707	full time	As he could not endure this changed attitude and was at the same time afraid of suffering some harm, he transferred his allegiance. #fulltime
708	full time	For practically all the cities of Italy felt such friendliness for him that when a short time before they had heard he was dangerously ill, they vowed they would offer public sacrifices for his preservation. #fulltime
709	full time	Some took fond leave at once of each other and of the city as if they were beholding them for the last time others bewailed
709	full time	their own lot and joined their prayers to those of the departing the larger number, on the ground that they were being betrayed, uttered maledictions. #fulltime
710	full time	These were the portents which he encountered in person, but before the whole capital others had occurred both that year and a short time previously. #fulltime
711	full time	Caesar at this time did not even attempt to sail to Macedonia, because he was short of boats and had fears for Italy, dreading that the lieutenants of Pompey from Spain might assail and occupy it. #fulltime
712	full time	The people, far from getting at that time the money which he had promised them, had to give him all the rest that remained in the public coffers for the support of his soldiers, whom they feared. #fulltime
713	full time	After taking these steps Caesar occupied Sardinia and Sicily without a battle, as the governors there at that time withdrew. #fulltime
714	full time	On being placed in a state of siege they repulsed Caesar himself and held out for a very long time against Trebonius and Decimus Brutus, who subsequently besieged them. #fulltime
715	full time	Afranius and Petreius at this time had charge of affairs in the vicinity of the Iber and had posted a guard over the pass in the mountains, but chiefly they had gathered their forces in Ilerda, and there awaited the attackers. #fulltime
716	full time	The Romans at home, when they ascertained it, renounced all hopes of him, and believing that he would survive but a short time longer fell off to Pompey. #fulltime
717	full time	It happened just at this time that the Massilians were defeated in a naval battle by Brutus through the size of his ships and
717	full time	the strength of his marines, although they had Domitius as an ally and surpassed in their experience of naval affairs; they were subsequently shut in entirely. #fulltime
718	full time	This kindness he did them in return for the vision of his dream at the time that he was quaestor there, wherein he seemed to have intercourse with his mother and had received the hope of sole rulership, as I have stated. #fulltime
719	full time	With Caesar, however, when he came himself, they made terms he at that time deprived them of their arms, ships and money, and later of everything else except the name of freedom. #fulltime
720	full time	To what do the words I speak apply? To the fact that you have provisions in abundance, I am going to speak right out with no
720	full time	disguise you do get your pay in full and on time and you are always and everywhere supplied with plenty of food that you
720	full time	endure no inglorious toil nor useless danger; furthermore that you gather many great prizes for your bravery and are rebuked little or not at all for your errors, and yet you do not see fit to be satisfied with these things. #fulltime
721	full time	On the contrary he granted a return to all the exiles except Milo, and filled the offices for the ensuing year at that time
721	full time	they had chosen no one temporarily in place of the absentees, and whereas there was no aedile in town, the tribunes exercised
721	full time	all the functions pertaining to the aedileship moreover he set up priests in the places of those who were lost though not
721	full time	observing all the detailed ceremonies that were customary for them at such a juncture, and to the Gauls who live this side of the Alps and beyond the Po he gave citizenship because he had once governed them. #fulltime
722	full time	Since also many were said to possess large properties but to be concealing all their wealth, he forbade any one to have more
722	full time	than fifteen thousand denarii in silver or gold this law, he alleged, he did not enact himself, but he was simply enforcing a measure some time previously introduced. #fulltime
723	full time	It is quite time that nominally these officials ruled the two parties, but in reality it was Pompey and Caesar who were
723	full time	supreme, bearing, for the sake of good repute, the legal titles, one that of consul and the other that of proconsul, and doing not what the magistrates allowed but whatever they themselves pleased. #fulltime
724	full time	Nevertheless, he did not get across, but after struggling for a long time in vain sailed back. #fulltime
725	full time	Dyrrachium is situated in the land formerly belonging to the tribe of Illyrians called Parthini, but now and even at that time
725	full time	regarded as a part of Macedonia; and it is very favorably placed, whether it be the Epidamnus of the Corcyraeans or some other. #fulltime
726	full time	During this same time that Dyrrachium was being besieged Lucius Cassius Longinus and Gnaeus Domitius Calvinus had been sent by him into Macedonia and into Thessaly. #fulltime
727	full time	As they lay opposite each other the appearance of the camps bore, indeed, some resemblance of war, but the use of arms was suspended as in time of peace. #fulltime
728	full time	The majority were thrown into confusion by this fact, for the mass of words which were unintelligible to them, because
728	full time	belonging to different nations and languages, alarmed them greatly, and those who could understand one another suffered a
728	full time	calamity many times worse; in addition to their private misfortunes they saw and heard at the same time those of near neighbors. #fulltime
729	full time	At last, after they had struggled evenly for a very long space of time and many on both sides alike had fallen or been
729	full time	wounded, Pompey, since the larger part of his army was Asiatic and untrained, was defeated, even as had been made clear to him before the action. #fulltime
730	full time	The rest who had then for the first time fought against him he released, saying "Those have not wronged me who have advanced the interests of Pompey, their friend, and had received no benefit from me. #fulltime
731	full time	In this way he had not been compelled to yield to disasters and was able with ease to renew the conflict but this time as he had expected to far surpass Caesar he had foreseen nothing. #fulltime
732	full time	Now at this time Septimius and Achillas, the commanderinchief, and others who were with them declared they would readily receive Pompey, to the end, of course, that he might be the more easily deceived and ensnared. #fulltime
733	full time	The man whom at that time Roman soldiers were still guarding, soldiers left behind by Gabinius as a favor to Pompey and on
733	full time	account of the hatred felt by the Egyptians for the young prince's father, seemed now to have put him to death by the hands of those Romans and those Egyptians. #fulltime
734	full time	He hurried forward as far as Asia in quest of news about him, and there waited for a time since no one knew which way he had sailed. #fulltime
735	full time	Under the belief that now that Pompey was out of the way there was no longer any spot left that was hostile to him, he spent some time in Egypt collecting money and adjudicating the differences between Ptolemy and Cleopatra. #fulltime
736	full time	Egypt revolted, and Pharnaces had begun, just as soon as he learned that Pompey and Caesar were at variance, to lay claim to
736	full time	his ancestral domain he hoped that they would consume much time in their disputes and use up their own powers upon each other. #fulltime
737	full time	He was at this time still clinging to the districts mentioned, partly because he had once asserted his claim and partly because he understood that Caesar was far off; and he had occupied many points in advance. #fulltime
738	full time	The Spaniards were at the time subject to many abuses from Quintus Longinus, and at first some few banded together to kill him. #fulltime
739	full time	He favored Pompey by receiving those who transferred their allegiance to him and by fighting against Longinus, who declared he
739	full time	was on Caesar's side at the same time he did a kindness to Caesar because he assumed charge of the soldiers when as he would
739	full time	say Longinus was guilty of certain irregularities, and kept these men for him, while not allowing their commander to be alienated. #fulltime
740	full time	Consequently, although he had the opportunity of overthrowing Longinus altogether by mere numbers, he refused, but while
740	full time	extending his actions over considerable time in the display and preparation of what he desired, he put the responsibility for doubtful measures upon other persons. #fulltime
741	full time	In the briefest space of time they were pleased, were grieved, grew bold, grew fearful. #fulltime
742	full time	Caesar had at that time heard not a word of the mere inception of the war against Juba and against the Romans who had fought on his side, and yet they assigned a triumph for him to hold, as if he had been victor. #fulltime
743	full time	At the time sacrifices to Isis chanced to be going on and the soothsayers gave their opinion to the effect that the precincts of that goddess and of Serapis should be razed to the ground, as of yore. #fulltime
744	full time	From this time on he made himself a spectator and director of their contests; and they fought, seized in turn the most
744	full time	advantageous points in the city, and entered upon a career of killing and burning, so that on one occasion the holy vessels were carried by the virgins out of the temple of Vesta. #fulltime
745	full time	For a time the princess had urged her claim against her brother through others who were in Caesar's presence, but as soon as
745	full time	she discovered his disposition which was very susceptible, so that he indulged in amours with a very great number of women at
745	full time	different stages of his travels, she sent word to him that she was being betrayed by her friends and asked that she allowed to plead her case in person. #fulltime
746	full time	She was a woman of surpassing beauty, especially conspicuous at that time because in the prime of youth, with a most delicious voice and a knowledge of how to make herself agreeable to every one. #fulltime
747	full time	Potheinos, a eunuch who had taken a prominent part in urging the Egyptians on, who was also charged with the management of Ptolemy's funds, was afraid that he might some time pay the penalty for his behavior. #fulltime
748	full time	Therefore he sent secretly to Achillas who was at this time still near Pelusium and by frightening him and inspiring him at the same time with hopes he made him his associate, and next won over also all the rest who bore arms. #fulltime
749	full time	To all of them alike it seemed a shame to be ruled by a woman for they suspected that Caesar on the occasion mentioned had
749	full time	given the kingdom to both of the children merely to quiet the people, and that in the course of time he would offer it to Cleopatra alone. #fulltime
750	full time	As time went on a dispute arose among the followers of Arsinoë, and Ganymedes prevailed upon her to put Achillas to death, on the ground that he wished to betray the fleet. #fulltime
751	full time	Caesar thought that they had in very truth changed front, especially since he heard that they were cowardly and fickle and perceived that at this time they were terrified in the face of their defeats. #fulltime
752	full time	This man was a son of Mithridates and ruled the Cimmerian Bosporus, as has been stated it was his desire to win back again all
752	full time	his ancestral kingdom, and so he revolted just at the time of the quarrel between Caesar and Pompey, and, as the Romans had at
752	full time	that time found business, with one another and afterward were detained in Egypt, he got possession of Colchis without effort
752	full time	and, in the absence of Deiotarus, subjugated all of Armenia and some cities of Cappadocia and Pontus that were attached to the district of Bithynia. #fulltime
753	full time	To the majority he allowed the interest they were owing, an act by which he had incurred the enmity of Pompey, and he released
753	full time	them from all rent for one year, up to the sum of five hundred denarii; furthermore he raised the valuations on goods in which
753	full time	it was allowable according to law for loans to be paid to their value at the time of payment, and this after having considerably lowered the price for the populace on all confiscated property. #fulltime
754	full time	Those who were overbold and able to cause some great evil he took away from Italy in order that they might not raise an
754	full time	insurrection by being left behind there; and in Africa he was glad to employ different men on different pretexts, for while he was making away with his opponents through their work, he at the same time got rid of them. #fulltime
755	full time	This he did in that year in which he ruled as dictator really for the second time and the consuls were said to be Calenus and Vatinius, appointed near the close of the season. #fulltime
756	full time	On learning that the peninsula was in revolt they thought that the people would readily receive him as being the son of Pompey
756	full time	the Great; and while he made preparations to occupy Spain in a short time and set out from there to the capital, the others were getting ready to make the voyage to Italy. #fulltime
757	full time	At the start they experienced a slight delay, due to a dispute between Varus and Scipio about the leadership because the
757	full time	former had held sway for a longer time in these regions, and also Juba, elated by his victory, demanded that he should have first place. #fulltime
758	full time	DIO'S ROMAN HISTORY  The following is contained in the Fortythird of Dio's Rome How Caesar conquered Scipio and Juba chapters
758	full time	How the Romans got possession of Numidia chapter How Cato slew himself chapters How Caesar returned to Rome and celebrated his
758	full time	triumph and settled what business remained chapters How the Forum of Caesar and the Temple of Venus were consecrated chapters
758	full time	How Caesar arranged the year in its present fashion chapters , How Caesar conquered in Spain Gnaeus Pompey the son of Pompey
758	full time	chapters How for the first time consuls were appointed for not an entire year chapters How Carthage and Corinth received
758	full time	colonies chapters , How the Aediles Cereales were appointed chapter Duration of time, three years, in which there were the following magistrates here enumerated. #fulltime
759	full time	The following year he became both dictator and consul at the same time it was the third occasion on which he had filled each of the two offices, and Lepidus became his colleague in both instances. #fulltime
760	full time	When at last these reached him with much difficulty for they were not all together, but kept gathering gradually, since they
760	full time	lacked boats in which to cross in a body still, when in the course of time they did reach him and he had added them to his
760	full time	army, he took courage again; so much so, that he led out against the foe, and drew up his men in front of the trenches. #fulltime
761	full time	Caesar declared that with him he was angry, because Cato had grudged him the distinction attaching to the preservation of such
761	full time	a man, but released his son and most of the rest, as was his custom for some came over to him immediately of their own volition, and others later, so as to approach him after time should have somewhat blurred his memory. #fulltime
762	full time	And yet at that time he burned without reading all the papers that were found in the private chests of Scipio, and of the men
762	full time	who had fought against him he preserved many for their own sakes, and many also on account of their friends. #fulltime
763	full time	I have not associated with you in former time under a disguise, possessing in reality some different nature, only to become
763	full time	emboldened in security now because that is possible nor have I been so excited or beclouded by my great good fortune as to desire also to play the tyrant over you. #fulltime
764	full time	Another point do not fear the soldiers nor regard them in any other light than as guardians of my dominion, which is at the
764	full time	same time yours that they should be maintained is inevitable, for many reasons, but they will be maintained for your benefit, not against you; they will be content with what is given them and think well of the givers. #fulltime
765	full time	The lictors, on account of their numbers, appeared to them a most outrageous multitude, since never before had they beheld so
765	full time	many at one time and the sight of Arsinoë, a woman and once called queen, in chains a spectacle which had never yet been
765	full time	offered, in Rome at least, aroused very great pity, and in consequence on this excuse they incidentally lamented their personal misfortunes. #fulltime
766	full time	I shall accordingly pass over this, and be silent on the other like events that subsequently took place unless, of course, it
766	full time	should seem to me thoroughly necessary to mention some particular point, but I will give an account of the socalled camelopard, because it was then for the first time introduced into Rome by Caesar and exhibited to all. #fulltime
767	full time	And by mentioning one feature of his extravagance of that time I shall thereby give an inkling of all the rest. #fulltime
768	full time	After the passage of these laws he also established in their present fashion the days of the year which were not definitely
768	full time	settled among the people, since even at that time they regulated their months according to the movements of the moon by adding sixtyseven days, all that were necessary to bring the year out even. #fulltime
769	full time	For a time matters went on so but when a few of the men sent in advance from Rome had reached there, and Caesar's arrival was
769	full time	looked for, Pompey became frightened; and thinking that he was not strong enough to gain the mastery of all Spain, he did not
769	full time	wait for a reverse before changing his mind, but immediately, before testing the temper of his adversaries, retired into Baetica. #fulltime
770	full time	Caesar was at that time serving as dictator, and some time late, near the close of the war, he was appointed consul, when Lepidus, who was master of the horse, convoked the people for this purpose. #fulltime
771	full time	In a short time he had palisaded it off and dug a ditch round about. #fulltime
772	full time	To be sure, the drops of sweat that fell from sacred statues and the confused noises of the legions, and the many animals born
772	full time	which proved to be perversions of the proper type, and the torches darting from sunrise to the sunset region all these signs
772	full time	then met together in Spain at one time gave no clear manifestation to which of the two combatants they were revealing the future. #fulltime
773	full time	Inasmuch as the majority of them had been captured with Afranius and Varro, had been spared, and delivered afterward to
773	full time	Longinus, from whom they had revolted, they had no hope of safety if they were beaten, and as a result of this were drawn
773	full time	toward desperation, feeling that they needed to be of good cheer at that particular time or else perish utterly. #fulltime
774	full time	The latter body vigorously fought off attacks and fell only when surrounded, while the former for a long time kept the wall safe, so that it was not captured till all of them had perished in sallies. #fulltime
775	full time	And they commanded at that time that an ivory statue of him, but later that a whole chariot should be escorted at the horseraces along with the likenesses of the gods. #fulltime
776	full time	Then for the first time, contrary to precedent, it became possible for the same man to hold that office neither annually, nor
776	full time	for all the time left in the same year, but while living to withdraw from it without compulsion from either ancestral custom or any accusation, and for another one to take his place. #fulltime
777	full time	Accordingly I shall in most cases name those officials closely connected with events, but to secure perfect clearness with
777	full time	regard to what is done from time to time I shall mention also those first to serve, even if they make no contribution to the undertakings in question. #fulltime
778	full time	The business of administration, changed from that time for the reasons I have mentioned, was no longer invariably laid upon the quaestors, but was finally assigned to expraetors. #fulltime
779	full time	Two of the aediles managed at that time the public treasures, and one of them, by provision of Caesar, superintended the Ludi Apollinares. #fulltime
780	full time	They arranged, among other details, that he should have a larger number of assistants, and that the city should neither be
780	full time	without officials in his absence, nor by attempting to choose some on its own responsibility fall into factions also that such
780	full time	magistrates should be appointed in advance for three years this was the length of time they thought necessary for the campaign. #fulltime
781	full time	For the first year, as previously, forty quaestors were elected, and then for the first time two patrician aediles and four from the people. #fulltime
782	full time	Later he was released; some time after he was enrolled in the senate, and was now appointed praetor by Caesar; by degrees he advanced to such prominence as to conquer the Parthians and hold a triumph over them. #fulltime
783	full time	Caesar himself intended to be dictator both years, and designated Octavius in advance as master of the horse for the second, though he was at that time a mere lad. #fulltime
784	full time	For the time being, while this was going on, Caesar appointed Dolabella consul in his own stead, leaving Antony to finish the year out in office. #fulltime
785	full time	At that time he got the right to be seen on the tribune's benches and in company with those who were successively tribunes. #fulltime
786	full time	Next they bestowed upon him a quinquennial festival, as to a hero, and managers of sacred rites for the festival of naked boys
786	full time	in Pan's honor, constituting a third priestly college which they called the Julian, and on the occasion of all combats in armor one special day of his own each time both in Rome and the rest of Italy. #fulltime
787	full time	At the same time with these measures they passed another which well indicated their disposition. #fulltime
788	full time	Of course precisely that happened, though Caesar took courage on account of these very measures to believe that he would never
788	full time	be plotted against by the men who had voted him such honors, nor by any one else, because they would prevent it; and in consequence from this time he dispensed with a bodyguard. #fulltime
789	full time	Finally on the statue of the early Brutus they wrote "Would that thou wert living," and upon their contemporary's platform he was praetor at the time "Brutus, thou sleepest," and "Thou art not Brutus. #fulltime
790	full time	The arms of Mars, at that time deposited at his house by virtue of his position as high priest and by ancestral custom, made a great noise at night, and the doors of the chamber where he slept opened of their own accord. #fulltime
791	full time	At the same time that they said this they called continuously for Cicero but the crowd did not believe that they were sincere, and was not easily calmed. #fulltime
792	full time	Why need I waste time by repeating to you, who know them equally well, the names of Valerius, Horatius, Saturninus, Glaucia,
792	full time	the Gracchi? With such examples before you, not of foreign origin but native to this land, do not hesitate to strive after the right course and guard against the wrong. #fulltime
793	full time	So it is that partly conquering and partly defeated, sometimes gaining the mastery over others and again falling prostrate
793	full time	themselves, some are altogether annihilated and others gain a Cadmean victory, as it is called, and at a time when the knowledge can avail them nothing they perceive that their plans were ill drawn. #fulltime
794	full time	Consider, Marius for some time had power in seditions; then he was driven out, collected a force, and accomplished what you know. #fulltime
795	full time	Do you not see how much time we have lost in fighting one another, how many great evils we have endured meanwhile, and, what
795	full time	is worse than that, inflicted? And who could count the vast mass of money of which we have stripped our allies and robbed the
795	full time	gods, which furthermore we have contributed ourselves from what we did not possess, and then expended it against one another?
795	full time	Or who could number the mass of men that have been lost, not only of ordinary persons that is beyond computation but of
795	full time	knights and senators, each one of whom was able in foreign wars to preserve the whole city by his life and death? How many
795	full time	Curtii, how many Decii, Fabii, Gracchi, Marcelli, Scipiones have been killed? Not, by Jupiter, to repel Samnites or Latins or Spaniards or Carthaginians, but only to perish themselves in the end. #fulltime
796	full time	Even if any errors have been committed by certain persons, this is not a time to enquire carefully into them, nor to convict, nor to punish. #fulltime
797	full time	It is the task of those who deliberate rightly not to cause their own hurt by meting out exact justice, but to win preservation by a use at the same time of clemency. #fulltime
798	full time	Antony, as he perceived his rival's favorable situation and had not himself any force at his back, did not dare to adopt any
798	full time	revolutionary measures for the time being, and furthermore he persuaded Lepidus to prevent his becoming greater to bow to the will of the majority. #fulltime
799	full time	Stating only the truth, therefore, I affirm that this Caesar was at the same time most able in body and most amiable in spirit. #fulltime
800	full time	But his foes, both those dwelling near the friendly tribes, and all the rest that inhabited Gaul he subjugated, acquiring at
800	full time	one time vast stretches of territory and at another unnumbered cities of which we knew not even the names before. #fulltime
801	full time	No, you desired that he should spend in those regions as long a time as possible. #fulltime
802	full time	When Heaven had most justly decided the issue of the battle, what man of those then captured for the first time did he put to
802	full time	death? Whom, rather, did he not honor, not alone senators or knights or citizens in general, but also allies and subjects? No
802	full time	one of them either died a violent death, or was made defendant in court, no individual, no king, no tribe, no city. #fulltime
803	full time	Yet it is very difficult when tested in so many enterprises of such a scope and following one another in quick succession at a
803	full time	time when one has been successful in some, is still engaged in conducting others, and only suspects the existence of others,
803	full time	to prove equally efficient on all occasions and to refrain from wishing to do anything harsh or frightful, if not out of vengeance for the past, at least as a measure of safeguard for the future. #fulltime
804	full time	For the time being they despatched immediately to the colonies such as held allotments of land previously assigned by Caesar; this was from fear that they might cause some disturbance. #fulltime
805	full time	Inasmuch as he had been slain in Pompey's edifice and near his statue which at that time stood there, he seemed in a way to
805	full time	have afforded his rival his revenge; and this idea gained ground from the fact that tremendous thunder and a furious rain occurred. #fulltime
806	full time	Gaius Octavius Copia, this was the name of the son of Caesar's niece, Attia, came from Velitrae in the Volscian country, and
806	full time	having been left without a protector by the death of his father Octavius he was brought up in the house of his mother and her husband, Lucius Philippus, but on attaining maturity spent his time with Caesar. #fulltime
807	full time	While sleeping once in his temple, she said, she thought she had intercourse with a serpent, and through this circumstance at the end of the allotted time bore a son. #fulltime
808	full time	Now this Octavius chanced at the time that Caesar was murdered to be in Apollonia near the Ionic Gulf, pursuing his education. #fulltime
809	full time	At the time he seemed to some to have acted recklessly and daringly in this, but later as a result of his good fortune and the successes he achieved he acquired a reputation for bravery. #fulltime
810	full time	In this way he that was formerly called Octavius, but already at this time Caesar, and subsequently Augustus, took charge of
810	full time	affairs and settled them and brought them to a successful close more vigourously than any mature man, more prudently than any graybeard. #fulltime
811	full time	At this time out of fear of Antony he brought into the theatre neither Caesar's gilded chair nor his crown set with precious stones, though it was permitted by decree. #fulltime
812	full time	As a fact they understood each other's dispositions accurately, and, thinking it inopportune at that time to put them to the test, they came to terms by making a few mutual concessions. #fulltime
813	full time	For the time being the soldiers were quiet, but on the way toward Gaul when they arrived opposite the capital they revolted,
813	full time	and many of them, despising the lieutenants that had been set over them, arrayed themselves on Caesar's side. #fulltime
814	full time	Decimus Brutus was at this time governor of that province, and Antony set great hopes upon him, because he had been a slayer of Caesar. #fulltime
815	full time	Caesar, when he heard this decision, was for some time at a loss what course to adopt. #fulltime
816	full time	Just at this time the year was drawing to a close and no consul was on the ground, Dolabella having been previously sent by Antony to Syria. #fulltime
817	full time	At the same time that these things occurred all sorts of oracles tending to the downfall of the democracy were recited. #fulltime
818	full time	Because of these events many men in the course of those days took one side or the other in their speeches and advice, and
818	full time	among the deliverances was the following, of Cicero"You have heard recently, Conscript Fathers, when I made a statement to you
818	full time	about the matter, why I made preparations for my departure as if I were going to be absent from the city a very long time and then returned rapidly with the idea that I could benefit you greatly. #fulltime
819	full time	' Perhaps these measures were voted yet ought you to put it that way, and not instead exact punishment from him for his action
819	full time	in compelling you to make that decision? At any rate, you never at any time gave him the right to restore the exiles, to add
819	full time	laws surreptitiously, to sell the privileges of citizenship and exemption from taxes, to steal the public funds, to plunder
819	full time	the possessions of allies, to abuse the cities, or to undertake to play the tyrant over his native country. #fulltime
820	full time	Had he not at that time acted contrary to your wishes, Caesar would never have found an excuse for the war and could not, in
820	full time	spite of all his shamelessness, have gathered a competent force in defiance of your resolutions; but he would have either voluntarily laid down his arms, or been brought to his senses unwillingly. #fulltime
